TDB_past_J2000 sc_2_earth_LVLH_1 sc_2_earth_LVLH_2 sc_2_earth_LVLH_3
922757161.18565 31931546.1087969 87835522.9527097 -25294749.5167863
922757171.18565 31699310.6670389 87835565.109668 -25584997.9550495
922757181.18565 31464491.8094645 87835607.5902256 -25873046.9511572
922757191.18565 31227110.9189002 87835650.3773414 -26158874.1264053
922757201.18565 30987189.5608295 87835693.4538509 -26442457.3186638
922757211.18565 30744749.4809524 87835736.8023243 -26723774.5842514
922757221.18565 30499812.6027049 87835780.4047937 -27002804.2002072
922757231.18565 30252401.0252083 87835824.2434278 -27279524.6629324
922757241.18565 30002537.0205124 87835868.2996836 -27553914.6925967
922757251.18565 29750243.0315157 87835912.5549693 -27825953.23181
922757261.18565 29495541.6695676 87835956.9905375 -28095619.4471624
922757271.18565 29238455.7119289 87836001.5871926 -28362892.7314327
922757281.18565 28979008.0995797 87836046.3256376 -28627752.7033826
922757291.18565 28717221.9346926 87836091.1861543 -28890179.2099638
922757301.18565 28453120.4784012 87836136.1489634 -29150152.3260868
922757311.18565 28186727.1483633 87836181.1940791 -29407652.3561474
922757321.18565 27918065.5162665 87836226.3010479 -29662659.8358884
922757331.18565 27647159.3056911 87836271.4494931 -29915155.5314889
922757341.18565 27374032.3895065 87836316.6186433 -30165120.4421159
922757351.18565 27098708.7876541 87836361.7876534 -30412535.7997232
922757361.18565 26821212.6646702 87836406.9354244 -30657383.0705513
922757371.18565 26541568.3273235 87836452.0405997 -30899643.9559632
922757381.18565 26259800.22232 87836497.0817781 -31139300.3925944
922757391.18565 25975932.9338792 87836542.0374142 -31376334.5534902
922757401.18565 25689991.1813606 87836586.8857863 -31610728.8489744
922757411.18565 25401999.8167935 87836631.6047566 -31842465.9281403
922757421.18565 25111983.8227953 87836676.1725082 -32071528.6773004
922757431.18565 24819968.3099433 87836720.5668419 -32297900.2228629
922757441.18565 24525978.5144661 87836764.7653408 -32521563.9314938
922757451.18565 24230039.7959912 87836808.7456541 -32742503.4099212
922757461.18565 23932177.6351773 87836852.4854266 -32960702.5057845
922757471.18565 23632417.6311857 87836895.9618847 -33176145.3094756
922757481.18565 23330785.4996234 87836939.152532 -33388816.152653
922757491.18565 23027307.06993 87836982.0345048 -33598699.6107145
922757501.18565 22722008.2832673 87837024.5851408 -33805780.5016718
922757511.18565 22414915.1900056 87837066.7815277 -34010043.8879789
922757521.18565 22106053.9475458 87837108.6008365 -34211475.0760501
922757531.18565 21795450.8178767 87837150.0200781 -34410059.6174425
922757541.18565 21483132.1654196 87837191.0165565 -34605783.30804
922757551.18565 21169124.4545629 87837231.5673431 -34798632.189928
922757561.18565 20853454.2473625 87837271.6493786 -34988592.5515198
922757571.18565 20536148.2013763 87837311.2398725 -35175650.9268498
922757581.18565 20217233.0673062 87837350.3160236 -35359794.0966913
922757591.18565 19896735.686644 87837388.8549407 -35541009.0891258
922757601.18565 19574682.9895598 87837426.8340506 -35719283.1787565
922757611.18565 19251101.9924552 87837464.2306489 -35894603.8882236
922757621.18565 18926019.7957594 87837501.0220469 -36066958.9880733
922757631.18565 18599463.5817486 87837537.1858243 -36236336.4963634
922757641.18565 18271460.6121842 87837572.699472 -36402724.6798293
922757651.18565 17942038.2261981 87837607.5408962 -36566112.0528174
922757661.18565 17611223.8379298 87837641.6878983 -36726487.3788093
922757671.18565 17279044.9343583 87837675.1184135 -36883839.6699883
922757681.18565 16945529.0731012 87837707.8105973 -37038158.1871874
922757691.18565 16610703.8801899 87837739.742808 -37189432.4400829
922757701.18565 16274597.0478279 87837770.8934124 -37337652.187793
922757711.18565 15937236.3323114 87837801.2412572 -37482807.4378183
922757721.18565 15598649.5516898 87837830.7650833 -37624888.4475774
922757731.18565 15258864.583721 87837859.444101 -37763885.7230659
922757741.18565 14917909.3636029 87837887.2575213 -37899790.0200445
922757751.18565 14575811.881911 87837914.1849668 -38032592.3430763
922757761.18565 14232600.1823463 87837940.2061425 -38162283.9463467
922757771.18565 13888302.3597251 87837965.3013486 -38288856.3324275
922757781.18565 13542946.5576553 87837989.4505847 -38412301.2543922
922757791.18565 13196560.96667 87838012.6348871 -38532610.7126178
922757801.18565 12849173.821827 87838034.8348409 -38649776.9582429
922757811.18565 12500813.4008398 87838056.0317867 -38763792.4902573
922757821.18565 12151508.0218832 87838076.207376 -38874650.056474
922757831.18565 11801286.0414873 87838095.3434284 -38982342.653756
922757841.18565 11450175.8525338 87838113.4222766 -39086863.5270996
922757851.18565 11098205.8821096 87838130.4264593 -39188206.1702206
922757861.18565 10745404.5894901 87838146.3389337 -39286364.324918
922757871.18565 10391800.4641114 87838161.1430095 -39381331.9810574
922757881.18565 10037422.0235361 87838174.822674 -39473103.3756721
922757891.18565 9682297.81132659 87838187.3617037 -39561672.9947787
922757901.18565 9326456.39518887 87838198.7449356 -39647035.5703017
922757911.18565 8969926.36484479 87838208.9573445 -39729186.0819411
922757921.18565 8612736.33006221 87838217.9842074 -39808119.7565649
922757931.18565 8254914.91870408 87838225.8115479 -39883832.0669748
922757941.18565 7896490.77471659 87838232.4257188 -39956318.7325796
922757951.18565 7537492.55616047 87838237.8134339 -40025575.7190505
922757961.18565 7177948.9332473 87838241.9618628 -40091599.2378296
922757971.18565 6817888.58647926 87838244.8590873 -40154385.7448175
922757981.18565 6457340.20455774 87838246.4930638 -40213931.9423648
922757991.18565 6096332.48260335 87838246.8527394 -40270234.7764798
922758001.18565 5734894.12013389 87838245.9273089 -40323291.4381392
922758011.18565 5373053.81923738 87838243.7067413 -40373099.3617783
922758021.18565 5010840.28262084 87838240.1812998 -40419656.2259886
922758031.18565 4648282.21173519 87838235.3419117 -40462959.9523406
922758041.18565 4285408.30491309 87838229.1799585 -40503008.7054571
922758051.18565 3922247.25550227 87838221.6874958 -40539800.8921446
922758061.18565 3558827.74999406 87838212.8571572 -40573335.1612004
922758071.18565 3195178.46617883 87838202.6819412 -40603610.4034601
922758081.18565 2831328.07133979 87838191.1558182 -40630625.7500557
922758091.18565 2467305.2203824 87838178.2730648 -40654380.5734272
922758101.18565 2103138.55403748 87838164.0285721 -40674874.4862056
922758111.18565 1738856.6970617 87838148.4178818 -40692107.3406808
922758121.18565 1374488.25643467 87838131.437201 -40706079.2283053
922758131.18565 1010061.81956933 87838113.0831291 -40716790.4798072
922758141.18565 645605.952554969 87838093.3533784 -40724241.6631524
922758151.18565 281149.198340031 87838072.2457702 -40728433.5852152
922758161.18565 -83279.9249667772 87838049.759089 -40729367.2894331
922758171.18565 -447652.925885141 87838025.8924937 -40727044.0565638
922758181.18565 -811941.341279869 87838000.6462043 -40721465.4026831
922758191.18565 -1176116.73810033 87837974.0206316 -40712633.0805322
922758201.18565 -1540150.71510441 87837946.0170423 -40700549.0775432
922758211.18565 -1904014.90454318 87837916.6373894 -40685215.6156602
922758221.18565 -2267680.97390516 87837885.8842575 -40666635.1508983
922758231.18565 -2631120.62755775 87837853.761095 -40644810.3722821
922758241.18565 -2994305.6084822 87837820.2715854 -40619744.2026282
922758251.18565 -3357207.6998931 87837785.4204512 -40591439.7962325
922758261.18565 -3719798.72694562 87837749.2127876 -40559900.5397211
922758271.18565 -4082050.55837787 87837711.6548665 -40525130.0497145
922758281.18565 -4443935.10813497 87837672.7530464 -40487132.1745885
922758291.18565 -4805424.33705794 87837632.514809 -40445910.9916137
922758301.18565 -5166490.25444371 87837590.9479904 -40401470.8080119
922758311.18565 -5527104.91973985 87837548.061497 -40353816.1587701
922758321.18565 -5887240.44408495 87837503.8643706 -40302951.8080485
922758331.18565 -6246868.99197001 87837458.3668149 -40248882.7463047
922758341.18565 -6605962.78281167 87837411.5796301 -40191614.1908777
922758351.18565 -6964494.09252012 87837363.5141337 -40131151.5855159
922758361.18565 -7322435.25509107 87837314.182284 -40067500.5994474
922758371.18565 -7679758.66420838 87837263.5969869 -40000667.1260384
922758381.18565 -8036436.77476461 87837211.7716724 -39930657.283054
922758391.18565 -8392442.1044111 87837158.7203022 -39857477.4119706
922758401.18565 -8747747.23515019 87837104.4577882 -39781134.0763606
922758411.18565 -9102324.81483802 87837048.9995524 -39701634.0621785
922758421.18565 -9456147.55871003 87836992.3616605 -39618984.3767754
922758431.18565 -9809188.25095208 87836934.5609419 -39533192.2479189
922758441.18565 -10161419.7461486 87836875.6148238 -39444265.1234706
922758451.18565 -10512814.9708741 87836815.5414383 -39352210.6704147
922758461.18565 -10863346.9250913 87836754.3593263 -39257036.7748269
922758471.18565 -11212988.6837646 87836692.0880755 -39158751.5396955
922758481.18565 -11561713.3982467 87836628.7476035 -39057363.2858196
922758491.18565 -11909494.2978112 87836564.3585128 -38952880.5502687
922758501.18565 -12256304.6911391 87836498.9421795 -38845312.0854362
922758511.18565 -12602117.9677448 87836432.5204323 -38734666.859028
922758521.18565 -12946907.5994804 87836365.1158891 -38620954.0525407
922758531.18565 -13290647.1419302 87836296.751508 -38504183.0615413
922758541.18565 -13633310.2359492 87836227.4511783 -38384363.4935327
922758551.18565 -13974870.6090221 87836157.2391092 -38261505.168607
922758561.18565 -14315302.0767373 87836086.1401769 -38135618.1178726
922758571.18565 -14654578.5442061 87836014.1798382 -38006712.5828758
922758581.18565 -14992674.0075137 87835941.3841684 -37874799.014723
922758591.18565 -15329562.5551226 87835867.7797899 -37739888.0734629
922758601.18565 -15665218.36925 87835793.3937893 -37601990.6275011
922758611.18565 -15999615.7273443 87835718.2538636 -37461117.7524402
922758621.18565 -16332729.0033985 87835642.3881193 -37317280.7307814
922758631.18565 -16664532.669487 87835565.8254824 -37170491.0500976
922758641.18565 -16995001.2969706 87835488.5949378 -37020760.4040905
922758651.18565 -17324109.5580835 87835410.7264806 -36868100.689444
922758661.18565 -17651832.2271067 87835332.250089 -36712524.0075263
922758671.18565 -17978144.1819324 87835253.1965028 -36554042.6616355
922758681.18565 -18303020.4053203 87835173.5968861 -36392669.1570196
922758691.18565 -18626435.9863151 87835093.4827926 -36228416.2001044
922758701.18565 -18948366.1216131 87835012.8863188 -36061296.6972797
922758711.18565 -19268786.1168542 87834931.8398695 -35891323.7546578
922758721.18565 -19587671.3880538 87834850.376243 -35718510.6769784
922758731.18565 -19904997.462905 87834768.528668 -35542870.9666907
922758741.18565 -20220739.9822285 87834686.331001 -35364418.322542
922758751.18565 -20534874.7010934 87834603.8170089 -35183166.6406118
922758761.18565 -20847377.4903949 87834521.0211948 -34999130.0112652
922758771.18565 -21158224.3380212 87834437.9781742 -34812322.719922
922758781.18565 -21467391.350258 87834354.7228865 -34622759.2456138
922758791.18565 -21774854.7531915 87834271.2909529 -34430454.2591384
922758801.18565 -22080590.8938053 87834187.7177874 -34235422.6245634
922758811.18565 -22384576.2415065 87834104.0392847 -34037679.3964675
922758821.18565 -22686787.3894128 87834020.2918061 -33837239.819077
922758831.18565 -22987201.0555522 87833936.5116321 -33634119.32685
922758841.18565 -23285794.084276 87833852.7354357 -33428333.5422824
922758851.18565 -23582543.4475361 87833769.0000882 -33219898.2755107
922758861.18565 -23877426.2462576 87833685.3428591 -33008829.5228134
922758871.18565 -24170419.7113922 87833601.8006758 -32795143.4678274
922758881.18565 -24461501.2056257 87833518.4113319 -32578856.4771105
922758891.18565 -24750648.2242493 87833435.2121736 -32359985.1030162
922758901.18565 -25037838.3967694 87833352.2410646 -32138546.0799351
922758911.18565 -25323049.4879612 87833269.5356577 -31914556.3254949
922758921.18565 -25606259.3994134 87833187.1341001 -31688032.9374847
922758931.18565 -25887446.1705815 87833105.0744278 -31458993.1947279
922758941.18565 -26166587.9800925 87833023.3944842 -31227454.5563522
922758951.18565 -26443663.1472592 87832942.1327422 -30993434.6583235
922758961.18565 -26718650.1330233 87832861.3271165 -30756951.316076
922758971.18565 -26991527.5414841 87832781.0158936 -30518022.5207063
922758981.18565 -27262274.1210463 87832701.2372008 -30276666.439593
922758991.18565 -27530868.7657765 87832622.0292455 -30032901.4146436
922759001.18565 -27797290.5166272 87832543.4302467 -29786745.9615241
922759011.18565 -28061518.5625806 87832465.478022 -29538218.7699891
922759021.18565 -28323532.2422425 87832388.2108384 -29287338.7000528
922759031.18565 -28583311.0447085 87832311.6664 -29034124.7843391
922759041.18565 -28840834.6110948 87832235.8824659 -28778596.2249765
922759051.18565 -29096082.7357422 87832160.8967609 -28520772.3928684
922759061.18565 -29349035.3674717 87832086.7468681 -28260672.8269753
922759071.18565 -29599672.6107077 87832013.4699464 -27998317.2342925
922759081.18565 -29847974.7269896 87831941.1033075 -27733725.4867388
922759091.18565 -30093922.1359881 87831869.6838309 -27466917.6221661
922759101.18565 -30337495.4168369 87831799.2481535 -27197913.8426303
922759111.18565 -30578675.3095147 87831729.8329367 -26926734.5123044
922759121.18565 -30817442.7158878 87831661.474384 -26653400.1581657
922759131.18565 -31053778.7010015 87831594.2083218 -26377931.4686292
922759141.18565 -31287664.4944395 87831528.0704605 -26100349.2914556
922759151.18565 -31519081.4915348 87831463.0962697 -25820674.6330754
922759161.18565 -31748011.2544774 87831399.3206938 -25538928.6586012
922759171.18565 -31974435.513724 87831336.7784749 -25255132.6894207
922759181.18565 -32198336.1691064 87831275.5038654 -24969308.2032107
922759191.18565 -32419695.2912061 87831215.530948 -24681476.8315131
922759201.18565 -32638495.1223804 87831156.8930699 -24391660.360857
922759211.18565 -32854718.0782631 87831099.6235115 -24099880.7288945
922759221.18565 -33068346.748826 87831043.7549975 -23806160.0251863
922759231.18565 -33279363.8995637 87830989.3196867 -23510520.4901688
922759241.18565 -33487752.4728974 87830936.3494372 -23212984.5127612
922759251.18565 -33693495.589298 87830884.8756011 -22913574.6300657
922759261.18565 -33896576.548455 87830834.9289072 -22612313.5267199
922759271.18565 -34096978.8306428 87830786.5397203 -22309224.0325019
922759281.18565 -34294686.0978885 87830739.7379092 -22004329.121673
922759291.18565 -34489682.1950228 87830694.5524943 -21697651.9134444
922759301.18565 -34681951.1512898 87830651.0124227 -21389215.667035
922759311.18565 -34871477.1810962 87830609.1456112 -21079043.7850151
922759321.18565 -35058244.685546 87830568.9795577 -20767159.8091009
922759331.18565 -35242238.2536488 87830530.5413521 -20453587.4187932
922759341.18565 -35423442.66331 87830493.8571741 -20138350.4326025
922759351.18565 -35601842.8827496 87830458.9527397 -19821472.8045383
922759361.18565 -35777424.0715859 87830425.8530201 -19502978.6242362
922759371.18565 -35950171.5821168 87830394.582381 -19182892.1149251
922759381.18565 -36120070.9604906 87830365.1645191 -18861237.632445
922759391.18565 -36287107.9479152 87830337.6224526 -18538039.6639517
922759401.18565 -36451268.4818545 87830311.9785193 -18213322.8265968
922759411.18565 -36612538.6971958 87830288.2543041 -17887111.8665833
922759421.18565 -36770904.9274029 87830266.4705795 -17559431.6582203
922759431.18565 -36926353.705923 87830246.6476439 -17230307.2004263
922759441.18565 -37078871.7670546 87830228.8047761 -16899763.6187251
922759451.18565 -37228446.0473665 87830212.960639 -16567826.161371
922759461.18565 -37375063.6868077 87830199.133137 -16234520.1987951
922759471.18565 -37518712.0298222 87830187.3392892 -15899871.2230419
922759481.18565 -37659378.6266617 87830177.5954883 -15563904.8446329
922759491.18565 -37797051.2344023 87830169.9172009 -15226646.7931286
922759501.18565 -37931717.8182055 87830164.3191061 -14888122.9147345
922759511.18565 -38063366.5524687 87830160.8151337 -14548359.1706353
922759521.18565 -38191985.8219301 87830159.4182677 -14207381.6368448
922759531.18565 -38317564.222945 87830160.1408349 -13865216.5006783
922759541.18565 -38440090.5645069 87830162.9942167 -13521890.0613461
922759551.18565 -38559553.8694058 87830167.9888803 -13177428.7283199
922759561.18565 -38675943.375492 87830175.1345778 -12831859.0181754
922759571.18565 -38789248.5366867 87830184.4401309 -12485207.5548281
922759581.18565 -38899459.0241322 87830195.9134496 -12137501.0679
922759591.18565 -39006564.7274325 87830209.5617069 -11788766.389567
922759601.18565 -39110555.7556043 87830225.391058 -11439030.4555686
922759611.18565 -39211422.438333 87830243.4068527 -11088320.301677
922759621.18565 -39309155.3270308 87830263.6135599 -10736663.0628275
922759631.18565 -39403745.1959152 87830286.0146952 -10384085.9722425
922759641.18565 -39495183.0431736 87830310.6129395 -10030616.3586636
922759651.18565 -39583460.0920011 87830337.4100295 -9676281.64586661
922759661.18565 -39668567.7917734 87830366.4068925 -9321109.3495158
922759671.18565 -39750497.8190062 87830397.6034486 -8965127.07781618
922759681.18565 -39829242.0785115 87830430.9987468 -8608362.52837338
